s/a|porta, portae|Tür
s/e|res, rei|Sache, Ding
s/o|ludus, ludi|Spiel, Wettkampf
s/u|magistratus, magistratus|Beamter, Magistrat
s/k|ops, opis|Hilfe, Kraft
v/a|vocare, voco, vocavi, vocatum|rufen
v/e|monere, moneo, monui, monitum|ermahnen, mahnen
v/i|audire, audio, audivi, auditum|hören
v/k|agere, ago, egi, actum|handeln, treiben
v/ki|capere, capio, cepi, captum|ergreifen, fangen
v/ire|inire, ineo, inii, initum|hineingehen, betreten, beginnen
v/ferre|praeferre, praefero, praetuli, praelatum|vorantragen, vorziehen, zeigen
v/esse|adesse, adsum, affui|anwesend sein, helfen
a/ao|longus, longi, longior, longissimus|lang
a/k1|felix, felicis, felicior, felicissimus|glücklich
a/k2|facilis, facilis, facilior, facillimus|leicht (zu tun)
a/k3|acer, acris, acrior, acerrimus|heftig, energisch
b|fere|fast, beinahe
w|in lucem proferre|ans Licht bringen